"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"PK OUT
pilihan pelatih untuk kedepan ada 3
1 STY
2 JESUS CASAS
3 LUIS MILLA","552","54","2025-10-13T06:01:14.000Z","rizkyimawan75","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","6667877017734660098","7560582394157024008","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/5f5f41a80ec8cc1f7cbd0167495edbd9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=930a3a25&x-expires=1760443200&x-signature=%2BxwxJxJWD8vQ60rogHnZemNKJ2E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"𝘀𝘁𝗲𝗽 𝗯𝗮𝘆 𝘀𝘁𝗲𝗽 𝗪𝗗 𝗷𝘂𝗴𝗮 𝟮𝟱𝗷𝘁🤣🥰","859","1","2025-10-13T09:26:35.000Z","ff_durara","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","6915968258701001729","7560635318912729863","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a7de78c045c24827b809ddd1855f48fa~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7a8550d1&x-expires=1760443200&x-signature=1ZPqXbG4gVFy3esBtts9HL04QrU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"KITA TETAP SUPORT TIMNAS!!
JANGAN PATAH SEMANGAT KALIAN LUAR BIASA!! TERIMAKASIH SUDAH BERJUANG SLAMA INI","1978","3","2025-10-13T03:56:00.000Z","depiprayetno14","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","6943855563567678465","7560550126075380488","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/98bb727463115e8018dc0af9c8119e53~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ddfd2fa7&x-expires=1760443200&x-signature=ZFhFz05oDM85cna51abF30m3QPc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"se cinta itu bule sama Indonesia, mereka pemain naturalisasi lebih ngotot ngasih semua kemampuan mereka untuk timnas. yang lokal malah klemar klemer","552","12","2025-10-13T05:34:39.000Z","pecandunikotine","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","6971270676276724737","7560575540010042130","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a7aa9a3afc1e523294fe84cec39a0dc1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cfc519d8&x-expires=1760443200&x-signature=B0MG7O1z%2BLt9diw9pZTW4pWvo9o%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"pssi dan exco nya harus tanggung jawab, tdk cukup dgn minta maaf","788","16","2025-10-13T04:44:59.000Z","kaum_rebahan001","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7327695569102455826","7560562728727184136","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0408fc34032d98fd4b1d2b386954773b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c1353aba&x-expires=1760443200&x-signature=OjNB3d3n30yb%2B%2BzSW9PylB0oCwc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Gua Yang Habis Wd 76jt Bilek😂🤣🙈","386","13","2025-10-13T08:31:32.000Z","user1927150172429murlia","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","6913516634179650561","7560621127929381650","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/afecb380b8a9e07d3bb4acc3b5d23a85~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9f18836d&x-expires=1760443200&x-signature=2psN%2BqHX0Cwh2zhzfctSR0u9xVA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"udah bener punya opa malah di ganti opet","169","2","2025-10-13T05:26:42.000Z","yopiyn_","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7101497279920505883","7560573489712333576","https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/ec57abe6ab597c1e1ba695c413b909b0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f13a693f&x-expires=1760443200&x-signature=QlPVly6xhAOHGcaVCKYC64jKJ5Y%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"intinya gini
pemain jelek=pelatih bagus
pemain bagus=pelatih jelek
🔥🗿","13","0","2025-10-13T07:41:46.000Z",".rexzy00","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7508588448643597320","7560608302318551816","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/93618ef6168ecd73a5dd6cbc9e9ef6cb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f25e225a&x-expires=1760443200&x-signature=f5ISb38AiVvEi%2Fp43%2BTHCrFvv4Q%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Patrick out","1","0","2025-10-13T03:59:02.000Z","bosscha.bimbi","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7481590186423649281","7560550903490315016","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/21533418c1db7470cd23962a1ec3effc~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=97ff5f4c&x-expires=1760443200&x-signature=4KH0tiiAhB8UXBjJZ12UOoOW0Ks%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Lihat postingan ig jay terbaru!, ingat kata kapten bang jay MIMPI INI BELUM BERAKHIR! 🔥 “TEAM INI DIBANGUN TIDAK HANYA MASA SEKARANG, TAPI JUGA UNTUK MASA DEPAN” . masih ada agenda
- Piala asia 2027
- Piala terbaik dunia AFF
- Kualifikasi Pildun 2030
tegakkan kepala, ini bukan akhir kita akan kembali lebih kuat lagi di agenda atas!!🇮🇩","19","0","2025-10-13T09:04:15.000Z","vespaauthentic","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7236640926373757958","7560629560249991956","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d6174dcc44041164d4a9803fa2927430~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1aad7ad3&x-expires=1760443200&x-signature=emV1Tf6JXhD03PtEZcCu0runUf4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"di tunggu pergantian kepelatihannya ya.
masih mau liat timnas sukses di piala asia 2027.","46","0","2025-10-13T03:55:30.000Z","adekkk1303","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7059982705119200257","7560550000829727506","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/578f8bab13fd6c7b105834162cb2c000~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9b3786fd&x-expires=1760443200&x-signature=5z5Kby42qNXhDTqiOMSx%2FOXzp3Y%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"semagat terus garuda Jagan pantang menjerah kami selalu mendukung mu 🇲🇨👑","4","0","2025-10-13T05:18:55.000Z","leo.fernando262","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7506481675552719880","7560571500651201298","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/48a6ec44d6fd58fc3fd16365c7689419~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0a306aca&x-expires=1760443200&x-signature=Nb5TGjpSkbTvlJxQgx8A9s7pFPI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Welcome Jesus casas","358","11","2025-10-13T03:58:34.000Z","_keex_","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7300249921700250630","7560550794035069714","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9cff3bf12c1980c2836ea1c64d25776c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9c6b4d19&x-expires=1760443200&x-signature=iE9m7AHc%2F3aihC8SE180M8KNsZ4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"ganti pelatih
setuju komen dibawah","201","21","2025-10-13T05:56:08.000Z","rangga.saputra1924","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7471853302091793424","7560581089723876104","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b41d8f65df609485ca0bd86a7c2ef86b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a1402523&x-expires=1760443200&x-signature=DBALmDkhamZXsD8GmX250CtQkyA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"gak kebayang gimana kuattnya squad timnas sekarang di tangan sty...","10","0","2025-10-13T05:52:04.000Z","skyzz329","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7427031938256471046","7560580011620877063","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/171f3f2cf73dda049ea1cffd0c9c50b0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6f5d24ea&x-expires=1760443200&x-signature=TmKMSHTKrV3jnTVgXRHSx0TPTC0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Patrick Kluivert out
shin tae yong to Indonesia","46","6","2025-10-13T05:48:31.000Z","ibnu_rfli08","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7451202017874265093","7560579118443823890","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7d78fab26cbd316793b23d105b6c388c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=77a6c37a&x-expires=1760443200&x-signature=Lxa2bBMks69bfeZYUSiiyBmzDp8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"plis shin Tae Yong kembali","10","0","2025-10-13T05:53:49.000Z","dapz.note.50.ke2","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7360605077717287941","7560580465264296724","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b0261c0d49bdd1cf5510d9986d521503~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b1b81bdd&x-expires=1760443200&x-signature=A4wAJxCnf1091hUcbGLhF31pDb0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Patrick Kluivert out 😡
balikin sty","5","0","2025-10-13T10:49:26.000Z","diana_ilz","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7352467749215847430","7560656667720270599","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/687c50bf3d0db2a5244e6205b91bf56a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=306cbbd2&x-expires=1760443200&x-signature=dfkT499%2F515eqjFt2q3x3kLz7Zs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"LOH ERIK GA EVALUASI NI? BIASANYA PAS JAMAN STY EVALUASI TROSSSSS","531","7","2025-10-13T09:01:57.000Z","andikasr9","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7008726568030094338","7560628954354058002","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/6bdd6f2f21ab167acf08d732708448ab~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9afcebce&x-expires=1760443200&x-signature=3vSSGf53qPGQm3NrdGfv7%2FIclds%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"woy,, timnas udah sejauh ini pun udah bagus bgt dari sebelum²nya, jangan pengennya menang terus, menang tuh bonus, kita jaga perasaan pemain timnas dan pelatih yg sudah berjuang semampu mereka, gw yg ngga ngerti bola aja kesel dengernya kalo timnas kalah pasti nyalahin pelatih lah apa lah,, positive thinking woy ,, #alwayssupportTimnas","222","91","2025-10-13T04:07:52.000Z","irnasupriyatna3","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7223999978611688450","7560553180641329927","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/39d8c5b68a012ac1be7d3550a59b2dd3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c596f278&x-expires=1760443200&x-signature=6RF%2BfuCCPTEdqwfMMyjx0862n6E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"sekarang siapa yg harus disalahkan? masak sahroni lagi 😭","5","0","2025-10-13T07:03:43.000Z","itssenssation_zan","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","6964318029150209026","7560598499844096786","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c3dc03d4a04b6a45252257a82617673a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ca9062bc&x-expires=1760443200&x-signature=H2UU0KvvWy5OSJojPAnXkosKXxA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"mending dukung meskipun kalah daripada dukung pas menang doang","189","26","2025-10-13T08:51:27.000Z","gntrpncprsyt","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7298691859273221126","7560626249489384199","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/d707bf78cdecd6c9d4d20bb556478b23~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=17cbb8ea&x-expires=1760443200&x-signature=MDfvUwoOPcR4UWtEPP35MsZ4GZs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"semoga kalian semua ngk nyesel ya sudah gabung ke Indonesia 🙏","48","3","2025-10-13T08:05:28.000Z","dar1kont4k4nd4","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","6777711959707943937","7560614365940122369","https://p77-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/612a22fe222002f6135069912e186441~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=5ce0ee12&x-expires=1760443200&x-signature=xu1M9Q%2BEQ77NmM1HIBNHGjieyVs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"Full senyum hbis wd 19,4jt🤩🥳","6","5","2025-10-13T08:14:51.000Z","riannn005","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7426062982373426182","7560616816013394695","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b062453b2849171099e4e76bf08afe92~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=ff31edcf&x-expires=1760443200&x-signature=0DdfsnqjEajqck9hi5%2Fb%2BD7ia0Q%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"jika piala dunia belum layak, ijinkan kami layak dan kuat di Piala Asia🥺","108","10","2025-10-13T08:28:43.000Z","tidakdikenalolehmu","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7053734635704730626","7560620403413795602","https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/99f063708c4df16e5138b09c15a39054~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=64775991&x-expires=1760443200&x-signature=klypPect%2B8nPxBBdxRtNs6zBwJA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"Tolong kembalikan SBY","9","8","2025-10-13T11:38:01.000Z","ndry_hendry","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","6958251930552484869","7560669202319852296","https://p77-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cff9329f6235fc1b834408f20c08852b~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=3e0b67d0&x-expires=1760443200&x-signature=R2sUIb%2F%2B%2FPLV1z3BDY%2Fa9n7XQLA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"pemikiran gw Patrick out
sty jadi pelatih,Jesus casass jadi pendamping nya sty","4","1","2025-10-13T10:34:06.000Z","adlptrdho29","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7356962913968669701","7560652707427713800","https://p77-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5b31fa9959b760776d0cc8ba392c285f~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=3fbd66ef&x-expires=1760443200&x-signature=VHd2Qbrx11Q2mqVM0O6mqP5ny1c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"Step by step wd 55jt bilek🚀😎🥰😂","7","5","2025-10-13T04:01:04.000Z","ronalzahwvi","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7554742080586728456","7560551423873188626","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f0f4d37dd5ef5f3d7eb822f5907c7fcc~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=83daedad&x-expires=1760443200&x-signature=NXUUfLMmKxLOrkY5xzL4gED1h9k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"Kluivert out
Ronaldinho in","1","1","2025-10-13T10:03:45.000Z","benz.avram","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7317904252558803973","7560644899667329799","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a9629048a9a4941f3dfece5d690c7241~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=9eec8d90&x-expires=1760443200&x-signature=lh55ad3XN1E1TWuv7JZMo4cSvvA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"Come on Indonesia, don't give up, I believe you can do it! Come on Garuda, I will support you!","2","1","2025-10-13T05:59:37.000Z","evelynelisabethbrow.usa","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7536778544091120660","7560581968897196820","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/36bef48d762da43afc0ff15ad0a746c9~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=92950094&x-expires=1760443200&x-signature=f%2BkrQFAimz3tl6J6oj8HjKSJOt0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"Anies - sty 2029 🤟🤟🤟","26","4","2025-10-13T03:56:24.000Z","sempak.ahay","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7088667631990080513","7560550226667946770","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7327638750295490566~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=2dd749b4&x-expires=1760443200&x-signature=5rl9GmddGhPKmARJliTwiAOghPc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"Patrick out
welcome Jesus casas","23","1","2025-10-13T09:59:19.000Z","aryadinata_08_12_2011","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7440412106840753207","7560643758975484680","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/391d39ac053e25e1e5c9bac615474cc8~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=33890642&x-expires=1760443200&x-signature=5XFNxJlrbxlw1P4qel4VV1fH20I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"welcome jesus casas","61","3","2025-10-13T07:54:45.000Z","sipalingtersakiti11","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7239575466444309509","7560611645841392392","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b4d220b1fb0c5beee5ea6bac589db576~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=a67e3d36&x-expires=1760443200&x-signature=rFRH3wM7YGQtbbwSJpHC6h6%2FjKU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"bukti jelas tangkap anies!!!!","14","6","2025-10-13T07:06:36.000Z","yohanes_290","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7327556343132455944","7560599232789824277","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0fc39cfbcb74785e6c7b380de4004dae~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=bb9282e9&x-expires=1760443200&x-signature=K3Qh4xgqvx2TodvUCx5OD3MfR80%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"Jesus casas next?","65","3","2025-10-13T04:29:16.000Z","xfr77_z","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7229159777811923970","7560558668997329671","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=6707db30&x-expires=1760443200&x-signature=vzazkcUULsph3WCSALrvY9W3ShU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
